epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,64.0676,0.47789,0.09058,0.10161,0.39802,0.86605,0.99651,1,0.995,0.91145,0.99651,1,0.995,0.995,0.50839,0.06234,0.00638,0.42324,0.84957,0.0016337,0.0016337,0.0016337
39,65.7606,0.49443,0.10067,0.10226,0.3995,0.87521,0.99716,1,0.995,0.90973,0.99716,1,0.995,0.995,0.4062,0.04299,0.00761,0.38198,0.84066,0.0016238,0.0016238,0.0016238
40,67.4349,0.50006,0.08774,0.08522,0.38419,0.86933,0.99698,1,0.995,0.92203,0.99698,1,0.995,0.995,0.4607,0.04013,0.00696,0.34598,0.84397,0.0016139,0.0016139,0.0016139
41,69.1342,0.49888,0.08561,0.10452,0.39099,0.87706,0.99702,1,0.995,0.90798,0.99702,1,0.995,0.995,0.42165,0.04277,0.00705,0.35242,0.82296,0.001604,0.001604,0.001604
42,70.812,0.47998,0.11495,0.09294,0.3926,0.85858,0.99645,1,0.995,0.89956,0.99645,1,0.995,0.995,0.46826,0.03358,0.00945,0.36937,0.82649,0.0015941,0.0015941,0.0015941
43,72.445,0.5148,0.08802,0.10486,0.40824,0.88201,0.9967,1,0.995,0.93465,0.9967,1,0.995,0.995,0.42364,0.04264,0.00923,0.33864,0.82637,0.0015842,0.0015842,0.0015842
44,74.1016,0.5003,0.11245,0.07864,0.38701,0.86461,0.99615,1,0.995,0.91385,0.99615,1,0.995,0.995,0.42986,0.04027,0.00556,0.34876,0.82395,0.0015743,0.0015743,0.0015743
45,75.7047,0.50965,0.09451,0.08652,0.40083,0.86185,0.99651,1,0.995,0.93752,0.99651,1,0.995,0.995,0.4358,0.03665,0.00818,0.35421,0.83457,0.0015644,0.0015644,0.0015644
46,77.3777,0.51019,0.08197,0.11591,0.39637,0.8707,0.9944,1,0.995,0.91197,0.9944,1,0.995,0.995,0.45649,0.05607,0.00866,0.3574,0.8362,0.0015545,0.0015545,0.0015545
47,79.0123,0.49046,0.10379,0.09269,0.40312,0.85813,0.99439,1,0.995,0.92812,0.99439,1,0.995,0.995,0.44106,0.07606,0.00915,0.35079,0.83235,0.0015446,0.0015446,0.0015446
