                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.30895,                0.20154,                0.84799,                0.96875,                0.96809,                0.98691,                 0.9022,                0.46625,                0.28221,                0.90468,               0.000161,               0.000161,               0.000161
                     91,                0.23129,                0.15259,                0.80166,                0.96883,                0.95875,                0.98527,                0.90049,                0.47219,                0.29372,                0.90628,             0.00014862,             0.00014862,             0.00014862
                     92,                0.22767,                0.14734,                0.80226,                0.96899,                0.96406,                0.98784,                0.90546,                0.46431,                0.29609,                0.90549,             0.00013625,             0.00013625,             0.00013625
                     93,                0.22017,                0.14638,                0.78994,                0.97067,                0.96781,                0.98578,                0.89769,                0.47602,                0.28629,                0.91164,             0.00012387,             0.00012387,             0.00012387
                     94,                0.21759,                0.13979,                0.79027,                0.97023,                0.96981,                0.98823,                0.90933,                0.46253,                0.28118,                0.90068,              0.0001115,              0.0001115,              0.0001115
                     95,                0.21329,                0.13918,                0.78995,                0.96966,                0.97006,                0.98173,                 0.9012,                0.46266,                0.28494,                0.90307,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.21291,                0.13984,                 0.7918,                0.95793,                0.97478,                0.97786,                0.89521,                0.46282,                0.29313,                0.90196,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.20742,                0.13295,                0.79452,                0.95735,                0.97175,                0.97729,                0.89518,                0.46683,                0.29627,                0.90356,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.20767,                0.13786,                0.79403,                0.95799,                0.96104,                 0.9711,                0.89313,                0.46232,                0.30664,                0.90105,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                  0.207,                 0.1349,                0.79286,                0.95759,                0.96255,                0.97216,                0.89091,                0.45568,                 0.3008,                0.89857,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.20259,                0.13088,                0.79028,                0.95586,                0.97377,                0.97663,                 0.9031,                0.45046,                0.29714,                0.89621,              3.725e-05,              3.725e-05,              3.725e-05
